Total time,PSNR
1.12172,inf
1.13069,inf
1.13378,inf
1.12211,inf
1.12395,inf
1.12597,inf
1.1212,inf
1.12306,inf
1.13112,inf
1.11861,inf
1.12568,inf
1.11861,inf
