Total time,PSNR
0.197421,inf
0.168657,inf
0.181646,inf
0.160208,inf
0.200031,inf
0.194292,inf
0.190769,inf
0.161135,inf
0.200557,inf
0.173579,inf
0.186822,inf
0.178751,inf
