Total time,PSNR
0.536972,inf
0.536884,inf
0.537049,inf
0.534193,inf
0.535578,inf
0.537145,inf
0.531942,inf
0.540015,inf
0.539412,inf
0.528175,inf
0.537634,inf
0.532421,inf
