Total time,PSNR
1.13426,inf
1.13104,inf
1.12915,inf
1.124,inf
1.12336,inf
1.12551,inf
1.13279,inf
1.12615,inf
1.12711,inf
1.13175,inf
1.12781,inf
1.13807,inf
