Total time,PSNR
6.66168,inf
6.64939,inf
6.57572,inf
6.51248,inf
6.64815,inf
6.68143,inf
6.65752,inf
6.66083,inf
6.69714,inf
6.68662,inf
6.69935,inf
6.64949,inf
