Total time,PSNR
1.11673,inf
1.12019,inf
1.09915,inf
1.09343,inf
1.09722,inf
1.09694,inf
1.10537,inf
1.09229,inf
1.10567,inf
1.1031,inf
1.10276,inf
1.09707,inf
