Total time,PSNR
1.11513,inf
1.10927,inf
1.11074,inf
1.12553,inf
1.11571,inf
1.11201,inf
1.11759,inf
1.1235,inf
1.11086,inf
1.11015,inf
1.11548,inf
1.11708,inf
