Total time,PSNR
6.08035,inf
6.1062,inf
6.67541,inf
6.10837,inf
6.1399,inf
6.09414,inf
6.17213,inf
6.01842,inf
6.20489,inf
5.93589,inf
5.60932,inf
5.70029,inf
